Symbol,AssetType,Name,Description,Sector,Industry
BKR,Common Stock,Baker Hughes Company,"Baker Hughes Company provides a portfolio of technologies and services to energy and industrial value chain worldwide. It operates through two segments: Oilfield Services & Equipment (OFSE) and Industrial & Energy Technology (IET). The OFSE segment designs and manufactures products and provides related services, including exploration, appraisal, development, production, rejuvenation, and decommissioning for onshore and offshore oilfield operations. This segment also provides drilling services, drill bits, and drilling and completions fluids; completions, intervention, measurements, pressure pumping, and wireline services; artificial lift systems, and oilfield and industrial chemicals; subsea projects and services, flexible pipe systems, and surface pressure control systems; and integrated well services and solutions. It serves oil and natural gas companies; the United States and international independent oil and natural gas companies; national or state-owned oil companies; engineering, procurement, and construction contractors; geothermal companies; and other oilfield service companies. The IET segment designs, manufactures, tests, and installs gas technology equipment, including drivers, driven equipment, flow control, and turnkey solutions for the mechanical-drive, compression, and power-generation applications; and gas technology services, such as advanced solutions, spare parts, specialized field service engineers, and repair services. This segment also provides rack-based vibration monitoring equipment and sensors; integrated asset performance management products; inspection services; pumps, valves, and gears; precision sensors and instrumentation, and controls. It serves upstream, midstream, downstream, onshore, offshore, and small and large scale customers. The company was formerly known as Baker Hughes, a GE company and changed its name to Baker Hughes Company in October 2019. Baker Hughes Company was incorporated in 2016 and is based in Houston, Texas.",ENERGY & TRANSPORTATION,OIL & GAS EQUIPMENT & SERVICES
BP,Common Stock,BP PLC ADR,"BP plc participates in the energy business globally. The company is headquartered in London, the United Kingdom.",ENERGY & TRANSPORTATION,PETROLEUM REFINING
BPT,Common Stock,BP Prudhoe Bay Royalty Trust,"BP Prudhoe Bay Royalty Trust is a grantor trust in the United States. The company is headquartered in Houston, Texas.",TECHNOLOGY,GENERAL
CEO,Common Stock,CNOOC Limited,"CNOOC Limited operates exploration and production businesses. The Company explores, develops, produces, and sells crude oils, natural gas products, and other products. CNOOC also provides oils and natural gas products marketing and trading services.",ENERGY & TRANSPORTATION,OIL & GAS EQUIPMENT & SERVICES
CHK,Common Stock,Chesapeake Energy Corporation,"Chesapeake Energy Corporation, an independent exploration and production company, engages in the acquisition, exploration, and development of properties to produce oil, natural gas, and natural gas liquids from underground reservoirs in the United States. The company holds interests in natural gas resource plays in the Marcellus Shale in the northern Appalachian Basin in Pennsylvania and the Haynesville/Bossier Shales in northwestern Louisiana. The company was founded in 1989 and is headquartered in Oklahoma City, Oklahoma.",ENERGY & TRANSPORTATION,OIL & GAS EQUIPMENT & SERVICES
COP,Common Stock,ConocoPhillips,"ConocoPhillips is an American multinational corporation engaged in hydrocarbon exploration. It is based in the Energy Corridor district of Houston, Texas.",ENERGY & TRANSPORTATION,PETROLEUM REFINING
CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",ENERGY & TRANSPORTATION,PETROLEUM REFINING
DVN,Common Stock,Devon Energy Corporation,Devon Energy Corporation is an American energy company engaged in hydrocarbon exploration in the American market.,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS
E,Common Stock,Eni S.p.A,"Eni S.p.A. operates as an integrated energy company worldwide. It engages in exploration, development, extracting, manufacturing, and marketing crude oil and natural gas, oil-based fuels, chemical products, and gas-fired power, as well as energy products from renewable sources. The company operates through Exploration & Production; Global Gas & LNG Portfolio (GGP); Refining & Marketing and Chemicals; Plenitude & Power; and Corporate and Other Activities segments. The Exploration & Production segment engages in research, development, and production of oil, condensates, and natural gas; and forestry conservation and CO2 capture and storage projects. The GGP segment is involved in the supply and sale of wholesale natural gas through pipeline; and international transport, and purchase and marketing of liquefied natural gas. The Refining & Marketing and Chemicals segment supplies, processes, distributes, and markets fuels and chemicals. The Plenitude & Power segment engages in the retail sale of gas, electricity, and related services; production and wholesale sale of electricity from thermoelectric and renewable plants; and provision of services for E-mobility. The Corporate and Other Activities segment is involved in the research and development, new technologies, business digitalization, and environmental activities. The company was founded in 1953 and is headquartered in Rome, Italy.",ENERGY & TRANSPORTATION,OIL & GAS INTEGRATED
EOG,Common Stock,EOG Resources Inc,"EOG Resources, Inc. is an American energy company engaged in hydrocarbon exploration. It is organized in Delaware and headquartered in the Heritage Plaza building in Houston, Texas.",ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS
EPD,Common Stock,Enterprise Products Partners L.P.,"Enterprise Products Partners L.P. provides midstream energy services to producers and consumers of natural gas, natural gas liquids (NGLs), crude oil, petrochemicals, and refined products. The company operates through four segments: NGL Pipelines & Services, Crude Oil Pipelines & Services, Natural Gas Pipelines & Services, and Petrochemical & Refined Products Services. The NGL Pipelines & Services segment offers natural gas processing and related NGL marketing services. It operates natural gas processing facilities located in Colorado, Louisiana, Mississippi, New Mexico, Texas, and Wyoming; NGL pipelines; NGL fractionation facilities; NGL and related product storage facilities; and NGL marine terminals. The Crude Oil Pipelines & Services segment operates crude oil pipelines; and crude oil storage and marine terminals, which include a fleet of 245 tractor-trailer tank trucks that are used to transport crude oil. It also engages in crude oil marketing activities. The Natural Gas Pipelines & Services segment operates natural gas pipeline systems to gather, treat, and transport natural gas. It leases underground salt dome natural gas storage facilities in Napoleonville, Louisiana; owns an underground salt dome storage cavern in Wharton County, Texas; and markets natural gas. The Petrochemical & Refined Products Services segment operates propylene fractionation and related marketing activities; butane isomerization complex and related deisobutanizer operations; and octane enhancement and high purity isobutylene production facilities. It also operates refined products pipelines and terminals; and ethylene export terminals, as well as provides refined products marketing and marine transportation services. Enterprise Products Partners L.P. founded in 1968 and is headquartered in Houston, Texas.",ENERGY & TRANSPORTATION,OIL & GAS MIDSTREAM
EXC,Common Stock,Exelon Corporation,"Exelon Corporation is an American Fortune 100 energy company headquartered in Chicago, Illinois and incorporated in Pennsylvania.",ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED
FANG,Common Stock,"Diamondback Energy, Inc.","Diamondback Energy, Inc., an independent oil and natural gas company, focuses on the acquisition, development, exploration, and exploitation of unconventional and onshore oil and natural gas reserves in the Permian Basin in West Texas. It focuses on the development of the Spraberry and Wolfcamp formations of the Midland basin; and the Wolfcamp and Bone Spring formations of the Delaware basin, which are part of the Permian Basin in West Texas and New Mexico. The company also owns, operates, develops, and acquires midstream infrastructure assets, including 770 miles of crude oil gathering pipelines, natural gas gathering pipelines, and an integrated water system in the Midland and Delaware Basins of the Permian Basin. Diamondback Energy, Inc. was founded in 2007 and is headquartered in Midland, Texas.",ENERGY & TRANSPORTATION,OIL & GAS E&P
HAL,Common Stock,Halliburton Company,"Halliburton Company is an American multinational corporation. One of the world's largest oil field service companies, it has operations in more than 70 countries.",ENERGY & TRANSPORTATION,"OIL & GAS FIELD SERVICES, NEC"
HES,Common Stock,Hess Corporation,Hess Corporation (formerly Amerada Hess Corporation) is an American global independent energy company involved in the exploration and production of crude oil and natural gas.,ENERGY & TRANSPORTATION,PETROLEUM REFINING
KMI,Common Stock,Kinder Morgan Inc,"Kinder Morgan, Inc. is one of the largest energy infrastructure companies in North America. The company specializes in owning and controlling oil and gas pipelines and terminals.",ENERGY & TRANSPORTATION,NATURAL GAS TRANSMISSION
MPC,Common Stock,Marathon Petroleum Corporation (MPC),"Marathon Petroleum Corporation, together with its subsidiaries, operates as an integrated downstream energy company primarily in the United States. It operates in two segments, Refining & Marketing, and Midstream. The Refining & Marketing segment refines crude oil and other feedstocks at its refineries in the Gulf Coast, Mid-Continent, and West Coast regions of the United States; and purchases refined products and ethanol for resale and distributes refined products, including renewable diesel, through transportation, storage, distribution, and marketing services. Its refined products include transportation fuels, such as reformulated gasolines and blend-grade gasolines; heavy fuel oil; and asphalt. This segment also manufactures propane, petrochemicals, and natural gas liquids. It sells refined products to wholesale marketing customers in the United States and internationally, buyers on the spot market, and independent entrepreneurs who operate primarily Marathon branded outlets, as well as through long-term fuel supply contracts to direct dealer locations primarily under the ARCO brand. The Midstream segment transports, stores, distributes, and markets crude oil and refined products through refining logistics assets, pipelines, terminals, towboats, and barges; gathers, processes, and transports natural gas; and gathers, transports, fractionates, stores, and markets natural gas liquids. The company was founded in 1887 and is headquartered in Findlay, Ohio.",ENERGY & TRANSPORTATION,OIL & GAS REFINING & MARKETING
NOV,Common Stock,NOV Inc.,"NOV Inc. is an American multinational corporation based in Houston, Texas. It is a leading worldwide provider of equipment and components used in oil and gas drilling and production operations, oilfield services, and supply chain integration services to the upstream oil and gas industry.",TECHNOLOGY,OIL & GAS FIELD MACHINERY & EQUIPMENT
OXY,Common Stock,Occidental Petroleum Corporation,"Occidental Petroleum Corporation is an American company engaged in hydrocarbon exploration in the United States, the Middle East, and Colombia as well as petrochemical manufacturing in the United States, Canada, and Chile.",ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS
PSX,Common Stock,Phillips 66,"The Phillips 66 Company is an American multinational energy company headquartered in Westchase, Houston, Texas.",ENERGY & TRANSPORTATION,PETROLEUM REFINING
SLB,Common Stock,Schlumberger NV,"Schlumberger Limited is an oilfield services company. Schlumberger has four principal executive offices located in Paris, Houston, London, and The Hague.",ENERGY & TRANSPORTATION,"OIL & GAS FIELD SERVICES, NEC"
VLO,Common Stock,Valero Energy Corporation,"Valero Energy Corporation is a Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power. It is headquartered in San Antonio, Texas, United States.",ENERGY & TRANSPORTATION,PETROLEUM REFINING
WMB,Common Stock,Williams Companies Inc,"The Williams Companies, Inc., is an American energy company based in Tulsa, Oklahoma. Its core business is natural gas processing and transportation, with additional petroleum and electricity generation assets.",ENERGY & TRANSPORTATION,NATURAL GAS TRANSMISSION
XOM,Common Stock,Exxon Mobil Corp,"Exxon Mobil Corporation, stylized as ExxonMobil, is an American multinational oil and gas corporation headquartered in Irving, Texas. It is the largest direct descendant of John D. Rockefeller's Standard Oil, and was formed on November 30, 1999 by the merger of Exxon (formerly the Standard Oil Company of New Jersey) and Mobil (formerly the Standard Oil Company of New York). ExxonMobil's primary brands are Exxon, Mobil, Esso, and ExxonMobil Chemical. ExxonMobil is incorporated in New Jersey.",ENERGY & TRANSPORTATION,PETROLEUM REFINING
DIA,ETF,SPDR Dow Jones Industrial Average ETF Trust,The DIA stock price tracks the performance of the Dow Jones Industrial Index,MULTIPLE,MULTIPLE
ONEQ,ETF,Fidelity Nasdaq Composite Index ETF,The ONEQ stock price tracks the performance of the Nasdaq Composite Index,MULTIPLE,MULTIPLE
SPY,ETF,SPDR S&P 500 ETF Trust (SPY),The SPY stock price tracks the performance of the S&P 500 Index,MULTIPLE,MULTIPLE
VOO,ETF,Vanguard 500 Index Fund (VOO),The VOO stock price tracks the performance of the S&P 500 Index,MULTIPLE,MULTIPLE